battery:pos,kill_switch:battery
battery:neg,engine_ground:Gnd
engine_ground:Gnd,engine_bay_ground:Gnd
kill_switch:starter,alternator:pos
kill_switch:z,alternator:sense
kill_switch:starter,kill_switch_resistor:resistor
kill_switch:starter,razor_pdm:pos
battery:neg,razor_pdm:neg
kill_switch:z,ign_switch:1
razor_pdm:IGNSW,ign_switch:2
battery:neg,trunk_ground:ground
brake_lights:pos,razor_pdm:ADIO8
trunk_ground:ground,brake_lights:gnd
fuel_pump:pos,razor_pdm:PWROUT1b
trunk_ground:neg,fuel_pump:gnd
razor_pdm:PWROUT2a,link_ecu_a:+14V
razor_pdm:PWROUT2b,link_ecu_b:+14V Aux9/10
razor_pdm:ADIO7,link_keypad:1
battery:neg,link_keypad:2
razor_pdm:CANH,link_ecu_b:DI10/CAN2H
razor_pdm:CANL,link_ecu_b:DI9/CAN2L
link_keypad:4,link_ecu_b:DI10/CAN2H
link_keypad:3,link_ecu_b:DI9/CAN2L
razor_pdm:PWROUT1a,deutsch_pdm_connector:2
deutsch_pdm_connector:2,injector1:Pos
link_ecu_a:Inj1,injector1:Gnd
deutsch_pdm_connector:2,injector2:Pos
link_ecu_a:Inj2,injector2:Gnd
deutsch_pdm_connector:2,injector3:Pos
link_ecu_a:Inj3,injector3:Gnd
deutsch_pdm_connector:2,injector4:Pos
link_ecu_a:Inj4,injector4:Gnd
deutsch_pdm_connector:2,injector5:Pos
link_ecu_b:Inj5,injector5:Gnd
deutsch_pdm_connector:2,injector6:Pos
link_ecu_b:Inj6,injector6:Gnd
link_ecu_a:Trig1,cam_sensor:Sensor
link_ecu_a:+5V,cam_sensor:5v
link_ecu_a:Shield/Gnd,cam_sensor:Gnd
link_ecu_a:Trig2,crank_sensor:Sensor
link_ecu_a:+5V,crank_sensor:5v
link_ecu_a:Shield/Gnd,crank_sensor:Gnd
razor_pdm:PWROUT3a,coil:Ubatt
icm:Gnd,engine_bay_ground:Gnd
link_ecu_a:Ign1,icm:Transistor1ecu
icm:Transistor1coil,coil:Coil1
link_ecu_a:Ign2,icm:Transistor2ecu
icm:Transistor2coil,coil:Coil2
link_ecu_a:Ign3,icm:Transistor3ecu
icm:Transistor3coil,coil:Coil3
razor_pdm:ADIO6,wiper:high
razor_pdm:ADIO8,wiper:park
wiper:gnd,engine_bay_ground:Gnd
link_ecu_a:Aux4,coolant_low_sensor:Sig+
link_ecu_a:GndOut,coolant_low_sensor:Sig-
link_ecu_a:AnVolt1,tps:Sensor
link_ecu_a:+5V,tps:5v
link_ecu_a:GndOut,tps:Gnd
link_ecu_a:AnVolt2,map_sensor:Sensor
link_ecu_a:+5V,map_sensor:5v
link_ecu_a:GndOut,map_sensor:Gnd
link_ecu_a:DI1,oil_switch_0.25_bar:Switch
link_ecu_a:DI2,oil_switch_1.40_bar:Switch
link_ecu_a:Ground1,engine_ground:Gnd
link_ecu_a:Ground2,engine_ground:Gnd
link_ecu_b:Temp3,intake_temp_sensor:Sig+
link_ecu_b:GndOut,intake_temp_sensor:Sig-
link_ecu_b:Temp4,oil_temp_sensor:Sig+
link_ecu_b:GndOut,oil_temp_sensor:Sig-
link_ecu_b:Knock1,knock1:Sig+
link_ecu_b:Shield/Gnd,knock1:Sig-
link_ecu_b:Shield/Gnd,knock1:Scr
link_ecu_b:Knock2,knock2:Sig+
link_ecu_b:Shield/Gnd,knock2:Sig-
link_ecu_b:Shield/Gnd,knock2:Scr
link_ecu_b:Ground1,engine_ground:Gnd
link_ecu_b:Ground2,engine_ground:Gnd
link_ecu_b:MES,LSU4.2:CalR
link_ecu_b:RE,LSU4.2:Vs
link_ecu_b:Heater,LSU4.2:H-
link_ecu_b:IPE,LSU4.2:Vs/Ip
link_ecu_b:APE,LSU4.2:Ip
razor_pdm:ADIO2,idle_stablizer_valve:Pos
idle_stablizer_valve:Gnd,engine_ground:Gnd
razor_pdm:ADIO5,vapor_purge_valve:Pos
vapor_purge_valve:Gnd,engine_bay_ground:Gnd
razor_pdm:ADIO1,aux_coolant_pump:Pos
aux_coolant_pump:Gnd,engine_ground:Gnd
razor_pdm:PWROUT4a,spal_fan_1:pos
razor_pdm:PWROUT4b,spal_fan_2:pos
engine_bay_ground:Gnd,spal_fan_1:gnd
engine_bay_ground:Gnd,spal_fan_2:gnd
coolant_temp_gauge:12v,deutsch_console_connector:1
coolant_temp_gauge:Ground,deutsch_console_connector:2
transmission_temp_gauge:12v,deutsch_console_connector:1
transmission_temp_gauge:Ground,deutsch_console_connector:2
fuel_pressure_gauge:12v,deutsch_console_connector:1
fuel_pressure_gauge:Ground,deutsch_console_connector:2
coolant_temp_gauge:Sig+,aem_coolant_temp_sensor:Sig+
coolant_temp_gauge:Sig-,aem_coolant_temp_sensor:Sig-
transmission_temp_gauge:Sig+,aem_transmission_temp_sensor:Sig+
transmission_temp_gauge:Sig-,aem_transmission_temp_sensor:Sig-
fuel_pressure_gauge:Sig+,aem_fuel_pressure_sensor:Sig+
fuel_pressure_gauge:Sig-,aem_fuel_pressure_sensor:Sig-
link_ecu_a:Temp1,coolant_temp_gauge:5vOut
razor_pdm:ADIO7,traqmate:pos
battery:neg,traqmate:gnd
razor_pdm:ADIO7,usb_hub:+
battery:neg,usb_hub:-
link_ecu_b:An Volt8,front_brake_pressure:Sig
link_ecu_b:An Volt9,rear_brake_pressure:Sig
link_ecu_a:+5V,front_brake_pressure:5v
link_ecu_a:+5V,rear_brake_pressure:5v
link_ecu_a:Shield/Gnd,front_brake_pressure:0v
link_ecu_a:Shield/Gnd,rear_brake_pressure:0v
coolant_temp_gauge:5vOut,labjack:fio0
fuel_pressure_gauge:5vOut,labjack:fio6
transmission_temp_gauge:5vOut,labjack:fio7
